id,value
RU_MOW,12
RU_MOS,7.3
RU_KDA,5.5
RU_SPE,4.5
RU_SVE,4.3
RU_ROS,4.2
RU_BA,4.1
RU_TA,3.9
RU_TYU,3.6
RU_NIZ,3.3
RU_DA,3.0
RU_KYA,2.9
RU_STA,2.8
RU_NVS,2.8
RU_KEM,2.7
RU_PER,2.6
